scaling,interaction_terms,penalty,C,max_iter,average_roc_auc
True,True,l1,0.1,1000,0.8850411012781136
True,True,l1,0.1,5000,0.8850411012781136
True,True,l1,1.0,1000,0.8755064158497616
True,True,l1,1.0,5000,0.8755064158497616
True,True,l1,10.0,1000,0.7850028090505236
True,True,l1,10.0,5000,0.7850028090505236
True,True,l1,0.0001,1000,0.5
True,True,l1,0.0001,5000,0.5
True,True,l1,0.001,1000,0.5
True,True,l1,0.001,5000,0.5
True,True,l1,0.01,1000,0.5
True,True,l1,0.01,5000,0.5
